name_of_firm,2016,2017,2018,2019,2020
firm_1,0.0,0.0,0.0,0.0,7.674468411620701
firm_2,0.0,162.95236849948964,188.5959807566034,0.0,182.73911709547426
firm_3,0.0,0.0,0.0,0.0,0.0
firm_4,92.3842843905,-8.0784977055,78.491191095,55.424781651,28.170346331999998
firm_5,431.549756085,37.250482395,395.83792680600004,389.345394912,195.9663689235
firm_6,422.0843681829873,590.1090953515575,459.0173121588,360.01434578374983,558.4484842743899
firm_7,0.0,0.0,0.0,0.0,0.0
firm_8,0.7236619439830501,1.05017033041935,0.82950951639765,0.4095129438513,0.85792483453455
firm_9,329.7041378072133,419.62113030934125,536.1267679796694,0.0,473.39950914
firm_10,107.9829053775,54.685856672999996,86.87660467650001,129.22312731000002,73.515574998
firm_11,145.45918291950002,173.13113737199998,142.8484027515,154.26561105899998,168.334544178
firm_12,22.6825270275,228.896000259,41.407434675000005,95.8897077165,98.070736185
firm_13,0.0,0.0,0.0,0.0,0.0
firm_14,378.2796822358095,427.38611881236386,433.2223756832452,489.1631485756791,472.63792940329483
firm_15,0.0,0.0,0.0,0.0,0.0
firm_16,0.0,0.0,0.0,0.0,0.0
firm_17,4568.910169334955,3637.2624245667153,3602.30913690414,4894.316120123415,3657.013143348795
firm_18,517.1076969615,444.4012791345,521.0930298615,632.74075863,542.884546398
firm_19,467.637135741,287.4182514315,427.4200601655,478.51545522000004,388.427110077
firm_20,0.0,0.0,0.0,0.0,0.0
firm_21,-3.2394038220000003,1.664297205,-2.278541631,-0.9439037505,0.031940589
firm_22,2588.77336152,3048.9034924694997,2543.650759119,2678.9510496375,3114.398046921
firm_23,0.0,0.0,0.0,0.0,0.0
firm_24,46.84864813710945,60.706433350605,53.857255050855,31.655181371069997,56.20926927903285
firm_25,0.0,1384.4160975755951,2569.8246032859925,0.0,2566.393398313891
firm_26,500.04887351100007,357.307333449,528.0094839615,556.0322917665001,394.6101241665
firm_27,0.0671061329316,0.135684561,0.1200228255,0.2769092047629,0.131133789
firm_28,0.0,47.7738673891704,29.11278288928215,0.0,37.265726999999394
firm_29,23.815832468256303,25.39933965164025,18.97997003674785,35.344408802227505,27.195139636393648
firm_30,0.0,0.23112238036965,-0.0977648722491,0.0,-0.02267502232365
firm_31,43.82636290607444,2.9575257450472496,38.19209416233855,138.16887088161093,6.26803554821355
firm_32,11.7588196554,0.0,7.019067903675,14.240991807510001,9.745943433285
firm_33,0.42483620319,14.654328982200001,-5.098149504285001,0.0,1.51060754487
firm_34,14.3526602025381,0.0,17.4207952654302,14.884318076662948,5.093466582617549
firm_35,10.289976972,-24.577208958,11.920033593,-12.1388975205,-2.5919438715
firm_36,-2.5604613885,0.0,-3.7017501420000003,-0.1307883165,0.0
firm_37,919.5042138940883,1033.824004237635,949.4346428355458,893.8792106136107,991.2230046770999
firm_38,247.12059494462895,166.8088948477473,242.08715276377018,282.3423222069264,213.36542876056396
firm_39,0.79416249926385,0.0,0.0,2.1591399279522,0.0
firm_40,143.3461595295,11.707275537000001,79.6356979485,223.3417650495,44.1460671165
firm_41,5.00138727510315,5.8747726500936,4.40459508717165,7.769665600970249,6.31413303747465
firm_42,-8.45396802753,0.0,13.022989598145,-34.85543598435,13.971582934335
firm_43,0.0,0.0,0.0,0.0,0.0
firm_44,-0.32890719764535,-0.49659887722500007,-0.382745202429,-0.057337430517750004,-0.513971487195
firm_45,0.0,0.0,0.0,0.0,0.0
firm_46,1.8838918305,5.2882535655,1.331201139,1.91514179621535,3.6122292255
firm_47,0.0,167.806279812,98.9919050055,0.0,126.4316707035
firm_48,0.0,0.0,0.0,0.0,0.0
firm_49,613.7851378215,296.19953106599996,945.8602521314999,498.228348909,258.5249967945
firm_50,-78.571778556435,-15.4500062895,-71.229480297,-55.3132867905,-16.4340861255
firm_51,0.0,165.89451815440773,0.0,0.0,140.553525477
firm_52,2905.766827464,2883.8195946405,3241.2018615479997,3701.772642198,3140.7945490845
firm_53,7.07494225474785,2.1877023528228,5.31653536646625,9.2497558233717,3.0284118847408497
firm_54,0.0,0.0,0.0,0.0,0.0
firm_55,24.200954607143554,37.906754930527356,26.9753582222421,0.0,31.839815824587003
firm_56,862.2723161192849,905.6771242361101,847.0631119141201,873.572667284115,857.0108406289052
firm_57,0.0,0.0,0.0,0.0,0.0
firm_58,1.6090672332094498,0.0,1.0008041613340501,-0.051172530923850004,1.6074479315733001
firm_59,94.84161494969999,73.05733927071,94.593726552375,62.995339629855,81.575844618435
firm_60,267.451829199,196.3607830455,227.173396761,303.2979204495,198.016322286
firm_61,0.0,170.01430971069001,118.9316539215,0.0,134.9702308245
firm_62,0.0,0.0,0.0,0.0,0.0
firm_63,145.47127813670804,0.0,98.064853180176,172.8617483878188,138.72821793468992
firm_64,9.675618023286,18.2031502660704,12.6957954487962,7.69739052079815,14.410922742534451
firm_65,13.623998613,0.0,0.0,28.3033021335,0.0
firm_66,0.0,0.0,0.0,0.0,0.0
firm_67,0.0,0.0,0.0,0.0,0.0
firm_68,7.450961848900651,0.0,6.6422214808176,7.076318348003251,6.2931373198707
firm_69,0.0,82.556279871,0.0,0.0,80.8291738725
firm_70,0.0,18.523402740785553,0.0,0.0,0.0
firm_71,23.48096834356905,0.0,0.0,192.10581792151424,0.0
firm_72,12.313965,12.098169805334999,12.3016605,11.70425073946455,11.039976
firm_73,62.1808238775,0.0,34.929899127,97.6967598375,0.0
firm_74,1612.2433707945,1296.0111038129999,1579.7358169365,2040.1322787885001,1378.4925278385
firm_75,7.398780107146051,8.408657483356501,7.41193303138395,9.99331297984905,8.1689584582614
firm_76,53.311917225675,40.565133023790004,52.68211791456,81.70551518469,61.300839212325
firm_77,0.0,0.0,0.0,0.0,0.0
firm_78,0.0,0.0,0.0,0.0,0.0
firm_79,32.801477791050004,129.20620372909502,41.65892305668,34.58188837902,40.75965268734
firm_80,1.9275775379999998,8.3283396315,0.3400386435,7.152003875999999,8.4391350285
firm_81,992.670567403267,1760.819871285319,1616.218120786,991.1617702623585,1752.9772838734098
firm_82,0.0,0.0,0.0,0.0,0.0
firm_83,0.0,0.441662048505,0.322739699625,0.0,0.3629748616797
firm_84,43.3710369495,13.116182433,41.341348152,52.000859547,31.947435034500003
firm_85,25.068378964887003,33.77370267470235,29.8965883630284,26.706088687685998,27.38996199764775
firm_86,266.2978781685,213.1545779775,276.077276127,156.744842871,254.192490534
firm_87,41.530347164999995,0.0,36.065742666,45.5259316065,18.3910600605
firm_88,-0.05158819075275,0.0,-0.0005962083006000001,-0.07350648396015,-0.0005635038861
firm_89,87.9374361975,0.0,64.5232031475,140.34774123300002,25.850454955500002
firm_90,0.0,0.0,0.0,0.0,0.0
firm_91,55.32357355022385,0.0,38.04057616808835,49.851253548004955,333.1110471062142
firm_92,38.0548883822793,0.0,41.117239094988896,39.39689637537045,37.120270684407004
firm_93,0.0,0.0,0.0,0.0,0.0
firm_94,10.072166499,-1.0014888105000002,3.6901488915000002,7.5696479475,1.2064704225
firm_95,0.0,0.0,0.0,0.0,0.0
firm_96,0.0,1151.2695209139658,1219.0198550407672,0.0,1129.869588089557
firm_97,107.0409750795,17.9355966885,89.085121398,125.7704495895,56.3332654785
firm_98,0.0,0.0,0.0,0.0,0.0
firm_99,20.5432931595,336.7145382300846,21.4391308005,17.5914341445,38.988744789
firm_100,161.27968527599998,145.00253168999998,215.36893365749998,166.6725630585,216.0681908205
firm_101,0.0,0.0,0.0,0.0,0.0
firm_102,-21.101956913216704,-14.289681808258651,-25.686774612014855,72.28165911887609,-4.712222985401549
firm_103,0.0,0.0,0.0,0.0,0.0
firm_104,0.0,1296.940621235993,0.0,0.0,0.0
firm_105,3303.76497015,4444.416506722499,3450.167377233,3280.3968780285004,3574.423980525
firm_106,0.8433882899999999,1.1444226149999999,0.957810675,0.88338738,0.931024725
firm_107,94.44531891102571,0.0,80.31853385764292,115.78505215791644,58.3185443814735
firm_108,2.28100641496275,0.0,2.91912037042215,2.3772699252493497,2.6879798524623
firm_109,0.0,27.8687696625,0.0,0.0,10.167263247000001
firm_110,655.5552708800399,326.49168634297496,503.54790337147494,713.26969982514,362.141079446595
firm_111,2.8636385895000003,4.70773956,3.13690923,3.2950987215,3.9852827355000002
firm_112,1527.4602086756702,1783.851444426075,1535.17133304483,1700.85622416732,1712.981118665175
firm_113,0.0,-50.02330896702,0.0,0.0,-104.83870241849999
firm_114,6.001390204500001,6.174438799500001,9.1299248025,5.6090631150000005,9.3049818705
firm_115,154.155265012875,108.19322957491036,158.23364475010501,30.20132481147,124.84377930589801
firm_116,348.659206488,87.9868453905,218.107829226,581.2396955685,186.94488084000002
firm_117,0.0,0.0,0.0,0.0,0.0
firm_118,405.98191940400005,470.587224801,402.30881887050003,356.05724340239954,420.874222338
firm_119,0.0,0.0,0.0,0.0,0.0
firm_120,0.0,0.0448364163894,0.0,0.0,0.0
firm_121,0.0,532.5925013235,395.140905276,0.0,498.1501547579999
firm_122,1.6960305105,6.623215149,2.2564891275,1.371942285,3.5702784525
firm_123,0.0,0.0,0.0,0.0,0.0
firm_124,0.0,0.0,0.0,0.0,0.0
firm_125,0.0,0.0,0.0,0.0,0.0
firm_126,0.0,0.0,0.0,0.0,0.0
firm_127,63.76924328855085,0.0,63.65647295626396,85.6683928096623,74.2963543275306
firm_128,80.31065640496125,0.0,0.0,0.0,0.0
firm_129,76.376106228,-50.1748537635,6.6466514355,25.868250102,-27.644800314
firm_130,18.449223432,14.355304266000001,24.0151081635,0.0,16.5038053155
firm_131,530.006603694,396.2756139615,535.685385999,559.249679052,454.168486173
firm_132,212.2833001185,248.669604351,226.7078313945,233.34119680950002,232.4375145765
firm_133,0.0,11.6639892525,0.0,0.0,0.0
firm_134,0.0,0.0,0.0,0.0,0.0
