name_of_firm,2016,2017,2018,2019,2020
firm_1,0.0,1.979864702999336,0.0,0.0,481792000.0
firm_2,6.813340560591826,3.1574304413019467,5.13712175784336,3.900918358075323,3.8717708052402555
firm_3,1.4622253932132334,1.7414072655184996,1.5055834724500503,1.29872550531047,1.4804549334518398
firm_4,1.5031595054599163,1.387369940956577,1.4244734530116432,1.4145072823874978,1.3860565677340149
firm_5,2.3988526712575604,2.7076156667101525,4.22697385355771,1.8994984377538788,3.681037738839845
firm_6,1.3691717857277148,1.234185945399527,1.351197639253283,1.3985576708799723,1.2258115322618337
firm_7,1.6103307612123798,1.4758443549671314,1.3706554283002572,1.4616864868742354,1.507776013368027
firm_8,0.0,0.0,0.0,0.0,0.0
firm_9,2.095629722610291,2.2848973805685913,2.1170417933647405,2.36665451824729,1.98150360617172
firm_10,1.667291175915772,1.7001350158241004,1.6347609509029293,1.4213029129420593,1.914798028667538
firm_11,0.0,0.0,0.0,0.0,0.0
firm_12,3.066108826564955,2.7499589766491073,3.1100797041873487,3.047845653725593,2.889783611307714
firm_13,3.9642670698732156,3.2621362737131703,3.767679481760854,4.591642118625578,3.555660133330488
firm_14,3.088783982167517,1.8440506346890968,2.3958899886611396,2.7783868500968234,2.1149303039896026
firm_15,1.484514082007463,2.0141861111472275,1.5014764516431667,1.3726640676318067,1.7558811774204806
firm_16,0.0,12.25009019071315,26.131362399403265,0.0,41.83019576035875
firm_17,2.2926462424084146,1.3103702159336479,1.4069566932824795,0.0,1.1991411100481637
firm_18,16.059778954938082,11.315112480892733,24.18456408464714,0.0,15.309815030566176
firm_19,1.3330199087453096,0.0,6.529720012454084,1.3334444698132635,0.0
firm_20,3.8152505162596952,2.324937676798865,5.060825210863711,5.4260212132048125,4.839561394282337
firm_21,2.656788405547016,3.3877981526245904,2.6551508700249946,1.1549935242171747,12.86399822837045
firm_22,1.258665644440775,1.2346350198219143,1.2543290629575579,1.2547909991398751,1.2542240794087804
firm_23,2.758230245647916,3.7040693235137123,3.0668120360969486,3.5057776715644526,3.8022200784915876
firm_24,0.0,2.569236725263793,3.026256868335806,0.0,3.219305278194286
firm_25,3.3979101425842884,2.0807382820904614,2.396597211218553,3.238346955515195,2.15567949394299
firm_26,1.657444646190499,1.4886564452785165,1.5169551316227825,1.63244703579768,1.365914630303313
firm_27,0.0,2.3193109624391632,0.0,0.0,6.985300544599767
firm_28,3.5626712571154964,1.9776421193321252,2.5729344591043914,1.3238775290496325,2.9001123269197
firm_29,0.0,0.0,0.0,0.0,0.0
firm_30,1.579867674923884,1.579300802896537,1.6110411098955826,1.5173338546772828,1.5401300223316714
firm_31,0.0,4.050008866462227,0.0,0.0,10.863745923560963
firm_32,0.0,1.2506964826757108,1.3559022811407966,0.0,1.1317298273861545
firm_33,1.2841982290549907,1.6955503293972796,1.5333652928672796,1.9203977628935174,1.6128805131266546
firm_34,1.5696092112450772,1.485397096813536,1.5454623190828902,1.4247137273403903,1.4938941055755797
firm_35,1.6335352325388284,1.348428871184203,1.5723996872320578,1.6695541984000555,1.3588140315390766
firm_36,6.932562527917155,4.855311230235055,8.651431896489477,8.509912117398304,6.639499120677516
firm_37,2.679039605200999,6.315726404987695,14.169048141689233,1.9822458881497957,6.309238590580544
firm_38,0.0,1.0445870339366576,1.2463875958430122,0.0,1.40362716135397
firm_39,2.86423648282667,2.6186546942534386,2.9712800715084646,2.878054458127516,2.4172428116178457
firm_40,1.5898519102018458,0.8773039468309418,1.5190514099937673,1.5185424614485463,1.2591944391338896
firm_41,2.531772613983268,2.9354578481120845,2.7017362202282906,3.006703633093391,2.8816768120049003
firm_42,1.4375703106280617,2.087799203027197,1.5252108357735712,1.5793798526896614,2.044231752024635
firm_43,1.9456817282312564,1.7050679602237255,1.9170544665797145,2.057610945238515,1.8034208894279224
firm_44,1.830310653366654,2.000759954417869,1.7342275938100127,0.0,1.7046624017680305
firm_45,1.1794540816185346,1.0537015182051501,1.1556401819488202,1.3053741367650014,1.343870874894899
firm_46,5.882122393541435,11.321172327475601,11.779909138322495,3.8265719792034854,12.892557834143862
firm_47,6.503445152450819,3.9310323176237363,4.493793898592887,5.445453382053288,6.930678214555669
