name_of_firm,2016,2017,2018,2019,2020
firm_1,0.0,2230.0767017500675,0.0,0.0,4.81792
firm_2,57.60232571962368,33.391180270391,50.62161375710576,29.6523995322368,40.63728089865073
firm_3,598.338698973655,583.6506038860637,566.0732533427097,540.0657467925533,558.9168562862305
firm_4,26861.460362568705,23862.762984453122,25284.403790956665,28772.492631044093,23493.658823091548
firm_5,142.4791471352195,148.43351762013674,152.2052338649434,130.55978901577555,145.37119492395755
firm_6,4357.050800395746,3480.9951177513312,3932.780217001986,4762.378657059424,3551.0734288944564
firm_7,6863.264089745126,5120.1829556854045,6136.124960261364,6823.0440800282695,6326.047639886089
firm_8,0.0,0.0,0.0,0.0,0.0
firm_9,28.19867612931072,26.922319247831037,29.477209891584,27.02410833912965,27.014303246274558
firm_10,4233.171618097808,6402.431816279204,4049.488997628928,4248.516092472446,6214.459239071918
firm_11,0.0,0.0,0.0,0.0,0.0
firm_12,3.4221040158719997,3.371819384832,3.52688124928,3.3218826076159997,3.314802192384
firm_13,2.928126258371994,2.8093099712823295,2.968059066511257,3.539438303831859,2.9587899298691074
firm_14,26.094534081890817,19.95569921923205,24.196097557502977,25.54183664841288,22.15753038781532
firm_15,70.38828256032113,52.15366272712243,55.36812442489098,57.62883078988626,48.85785113593661
firm_16,0.0,154.54158933551145,20.63183404863488,0.0,20.205459932538883
firm_17,112.19316736504832,179.12769892057088,263.20631074079745,0.0,248.71307418823676
firm_18,6.27523962368,6.18482430144512,6.2235142418432,0.0,6.195841265664
firm_19,1821.4401504137386,0.0,3.54635329693696,1822.0266573483577,0.0
firm_20,9.276415459328,7.86578727158784,9.366129947648,10.491772759754753,9.761966400512
firm_21,46.648520536848075,3.65219272753152,55.66473965648988,23.269984802917172,3.1962523421481985
firm_22,135.37113497713665,160.27105163371522,121.15659830901555,128.34400501288704,160.61627384823817
firm_23,25.0664101660288,36.97223613382656,25.79336415407493,24.908215359776563,38.54641118921779
firm_24,0.0,26.94187434679296,25.179836958504758,0.0,29.72905833364009
firm_25,14.970392075427839,13.465291368329522,14.354579486882713,15.280390036472935,14.198629532350362
firm_26,4678.537314598482,3799.2807010572906,4168.18245940269,4014.9504818459245,3707.503601404539
firm_27,0.0,31.31699065326797,0.0,0.0,11.56145314206771
firm_28,717.155413726277,935.1444790328562,654.9376163932737,245.65746753368515,951.1377488376955
firm_29,0.0,0.0,0.0,0.0,0.0
firm_30,4667.520085350062,3020.0227853206416,3774.602667308114,6465.461126626833,3206.6246159481943
firm_31,0.0,3.8430248725685248,0.0,0.0,3.7964168273079295
firm_32,0.0,512.619684750791,540.1967053512716,0.0,482.27871531200003
firm_33,622.991095974342,801.4392142947147,633.7687276939246,5.202708384635392,733.962599916569
firm_34,10307.99849323532,11206.21226583552,10879.223815875903,9526.515250384457,10971.094516371037
firm_35,257.1825333498884,99.31605317421425,237.5928940434379,259.09224832985046,265.2747806424918
firm_36,23.38924462984192,21.1883931136,24.33894663168,23.058073163152386,21.947498807296
firm_37,4.290508273940685,3.214939237376,3.594383199232,4.837886246764544,3.153888482304
firm_38,0.0,3510.287949629666,3145.330458431654,0.0,3542.1335045487326
firm_39,65.2875594257064,57.10345539269304,57.146115169376365,67.88667778019891,60.459657739798736
firm_40,577.6582650185605,487.1202371745904,590.552754179514,568.9705549359935,520.7589138509401
firm_41,5.247981191065395,5.896785366369996,5.297307288538214,6.209776944319693,5.581563962443878
firm_42,101.96245894771026,94.02706504643687,97.58245585745203,100.45303119063315,104.36221855941396
firm_43,3.4281736314880003,3.2690733864959998,3.539886742528,3.324742524928,3.312319036416
firm_44,6.1948671785983995,4.867283453697331,6.226041610321306,0.0,5.87001943329792
firm_45,112.07165729206774,78.11311263899678,86.7707719755389,139.02845305103637,70.0352083224664
firm_46,24.5752387236864,76.7242782851072,69.03694004450304,15.632988693493761,64.08765647822848
firm_47,21.229455374390987,67.27210406264125,31.336485526302717,20.413458956238024,69.46277479715307
firm_48,118.73160196058113,86.097193984,100.863056914432,108.45660623849471,92.71138969702399
firm_49,8.573139162440603,5.241517975282278,6.447916016985498,8.423827146331032,6.759949560504524
firm_50,0.0,0.0,0.0,0.0,0.0
firm_51,5.127076972392039,9.068289024,9.896263954029772,6.910292346219418,11.265101085109041
firm_52,9.126791629459559,7.8569018383342595,9.767420918448538,10.345400648739533,8.574513991083418
firm_53,400.175305879552,449.433778738176,379.412141421568,228.658603648,437.478831982592
firm_54,298.2380641176458,316.34244503760976,290.83424659863545,0.0,306.25545489308337
firm_55,654.4101810019769,206.19158870536702,667.3176011475273,551.4049526367517,606.3115632549478
firm_56,9.238351964160001,9.03356145664,9.2541161984,5.938648070897357,8.75428590592
firm_57,14.695919125745768,19.532487152693044,21.812152937308262,17.5013040879232,23.314128044437915
firm_58,187.08217854082804,4.114942446625383,3.9895354983019513,188.34065129835346,3.9255760617261055
firm_59,68.93561249066875,96.5360907973335,68.45394350112768,72.23767579634574,96.85955624226446
firm_60,0.0,171.07544802735103,0.0,0.0,134.33071807479809
firm_61,187.10794354148064,139.60693995865876,173.07713489813096,100.20343197063218,150.3859938853459
firm_62,336.65890475353996,0.0,202.49808289439488,401.72656412700155,92.88954724461854
firm_63,140.08759081002444,74.67664178109962,106.86338874879478,168.7438091887836,82.61804942611252
firm_64,37.00217431811215,19.970013654428776,33.29051617960059,0.0,25.168155283689778
firm_65,0.0,0.0,0.0,0.0,0.0
firm_66,0.0,978.3427851457843,3.8560182345830403,0.0,474.5309376284672
firm_67,0.0,47.951300682428624,0.0,0.0,0.0
firm_68,0.0,0.0,0.0,0.0,0.0
firm_69,27.95122533662413,27.242383062400823,27.6394328336427,27.341975145755956,30.091458400119812
firm_70,103.79478948257146,84.29133916574199,99.13313412783546,108.81845240297308,93.53351694921166
firm_71,0.0,387.0734822429389,0.0,0.0,0.0
firm_72,466.00933634530554,524.7739325885864,469.2327074697619,448.5625353966377,458.19611333945096
firm_73,5890.4749263338335,2781.4970045473333,3752.761507123909,7085.424052886638,2740.3942842159963
firm_74,549.3489702567132,459.5766030381706,531.7609501539342,499.6778683404148,541.0316563240052
firm_75,120.51423850853611,121.88250171125503,117.64227271400713,119.24533683541576,109.13390881973709
firm_76,1493.3481630782123,1343.1990838578442,1351.8395019718462,1960.5711902201595,1229.568061021551
firm_77,7.0166111943502845,28.154747828594996,26.907663571212797,6.7907551273579525,29.70942735590707
firm_78,257.899243309056,332.05486219264,284.65465433292803,201.7961249126232,315.329613831168
