name_of_firm,2016,2017,2018,2019,2020
firm_1,0.0,0.0,0.0,0.0,7.674468411620701
firm_2,0.0,163.59790655571092,201.53301838923466,0.0,195.52993325386785
firm_3,0.0,0.0,0.0,0.0,0.0
firm_4,99.56912897699999,-18.2970991125,80.38378315349999,43.5722609565,22.6401446505
firm_5,314.0696488845,20.800452477,349.41075682950003,409.1617874295,128.2289625165
firm_6,586.1815377302305,716.5751657851766,620.435893233675,562.187358391204,706.08719430516
firm_7,0.0,0.0,0.0,0.0,0.0
firm_8,0.7842787846061999,1.2579095013588,0.9286529638144501,0.4340079394407,1.0065743760123
firm_9,369.54108957365145,462.2194717489017,614.8572524971606,0.0,542.608577286
firm_10,122.67814133249999,53.4277206015,102.25843741050001,141.195591324,84.4005512115
firm_11,145.9632433875,174.56795087400002,143.3512384485,155.9763179985,169.2771076845
firm_12,67.569463233,249.806358423,82.0695337275,138.676290381,107.530630764
firm_13,0.0,0.0,0.0,0.0,0.0
firm_14,697.8298312118649,776.4780259574777,749.3339093827158,763.0359188121266,747.2426165870224
firm_15,0.0,0.0,0.0,0.0,0.0
firm_16,0.0,0.0,0.0,0.0,0.0
firm_17,4568.914709695455,3641.132663066715,3602.3138637251404,4894.316120123415,3660.6263020372953
firm_18,591.5747136360001,463.5213893385,753.1448314905,586.4947203585,699.2053468575
firm_19,502.58827716749994,306.762041355,475.3325053905,515.8354230195,423.04588897499997
firm_20,0.0,0.0,0.0,0.0,0.0
firm_21,-9.545088097499999,-0.6296203185,-8.921332292999999,-1.9972105964999998,-3.9942290535
firm_22,2665.082427153,3164.652441705,2633.440865898,2817.486825468,3182.7721591455
firm_23,0.0,0.0,0.0,0.0,0.0
firm_24,57.906171610682854,64.441993740915,59.14051097331001,39.942813315345,64.0136197045353
firm_25,0.0,3669.061283103982,5126.101611387073,0.0,5191.832719188238
firm_26,666.9373180755,359.9414420025,671.8504992465,694.3622218305,429.356916243
firm_27,1.1729329159263002,2.1372140369999997,1.9768267725,0.37320596777145004,1.909329018
firm_28,0.0,51.2683657993071,30.6792524790213,0.0,39.49020187893525
firm_29,22.4311712271861,24.99169974705045,18.61770817086795,34.02718708366455,30.852551042683654
firm_30,0.0,53.61561873684795,40.889440075357506,0.0,77.840900013453
firm_31,63.31118335394865,0.11908877850585001,52.70853878275695,126.26506431394785,2.62011256552695
firm_32,14.31530487312,0.0,14.706639339674998,18.01224768483,16.111548787575
firm_33,0.42483620319,17.08449061857,-5.08586312976,0.0,1.71156100431
firm_34,19.6113506017134,0.0,19.6170379233414,22.408430180903103,5.246921411649
firm_35,10.289976972,-24.577208958,11.920033593,-12.1388975205,-2.5919438715
firm_36,16.309595820000002,0.0,3.665247423,24.052961537999998,0.0
firm_37,1215.3051317107147,1299.8575109384699,1236.7126017613757,1212.5465411260175,1295.355680759235
firm_38,598.0001743069225,377.0153802247014,588.2343309489929,718.4691499531318,513.0340885445889
firm_39,1.5447975357948,0.0,0.0,6.7476735504459,0.0
firm_40,147.3198731955,14.584115908500001,85.5618499215,238.0791656865,47.936221305
firm_41,5.00138727510315,5.8747726500936,4.40459508717165,7.769665600970249,6.31413303747465
firm_42,-8.45396802753,0.0,13.022989598145,-34.85543598435,13.971582934335
firm_43,0.0,0.0,0.0,0.0,0.0
firm_44,-0.31870881395160006,-0.49827547893,-0.3831425501331,-0.021586933779599998,-0.542012382615
firm_45,0.0,0.0,0.0,0.0,0.0
firm_46,1.8838918305,5.2882535655,1.331201139,1.91514179621535,3.6122292255
firm_47,0.0,223.08470227499998,128.800153497,0.0,168.2265665115
firm_48,0.0,0.0,0.0,0.0,0.0
firm_49,1531.6663625055,419.6119954935,1219.2949778715001,1266.3860163225,333.1030407585
firm_50,-135.492420638685,-7.755272687999999,-119.57648354850001,-108.53901408873,-7.371118626
firm_51,0.0,334.9678786993434,0.0,0.0,272.721888195
firm_52,3773.6420104455,2768.3642146845,4006.2516091335,4700.75332992,3411.4018597365
firm_53,6.5649672293052,2.0103336951978,5.0353413665202,9.435623948680051,2.82452984072085
firm_54,0.0,0.0,0.0,0.0,0.0
firm_55,26.6854167967896,42.0984659278413,29.7990429477837,0.0,35.1129781643181
firm_56,1147.0755336603452,1038.5462109744149,1114.6887994294052,1156.792182133035,1037.449981470285
firm_57,0.0,0.0,0.0,0.0,0.0
firm_58,55.490439407985605,0.0,51.425211547501945,58.82459144989964,45.08056388527305
firm_59,107.438983715085,74.27191239576,97.15724832558001,100.79980951600498,83.46831554386499
firm_60,274.09952841,205.98786833100002,243.2089230945,301.41333862050004,223.4070035085
firm_61,0.0,180.935305899795,132.13842681600002,0.0,143.91519249
firm_62,0.0,0.0,0.0,0.0,0.0
firm_63,194.93189215502176,0.0,160.34409632147373,233.48285350921662,160.18223288544615
firm_64,164.90682134021313,191.1347469896496,165.18360754389357,166.46646354595077,168.81997372750618
firm_65,26.3711189265,0.0,0.0,52.375016676,0.0
firm_66,0.0,0.0,0.0,0.0,0.0
firm_67,0.0,0.0,0.0,0.0,0.0
firm_68,13.01833139375715,0.0,10.751476903967552,13.8781457627766,9.2516903434872
firm_69,0.0,105.091167096,0.0,0.0,96.989034339
firm_70,0.0,28.156153190727146,0.0,0.0,0.0
firm_71,-5.8789208042775,0.0,0.0,162.17509071112065,0.0
firm_72,13.4298885,13.656050500935,13.408119000000001,12.417993921125401,12.507051
firm_73,71.9858653605,0.0,36.930393132,116.270789706,0.0
firm_74,2035.9510497299998,1660.0760279625001,2039.200702254,2585.09813988,1819.9972850805
firm_75,9.58995086284035,12.579159382118851,9.4062026879769,12.557000876676451,11.924251211386801
firm_76,110.02523962323001,81.070859741745,110.735467771845,118.526703882075,128.78863689199503
firm_77,0.0,0.0,0.0,0.0,0.0
firm_78,0.0,0.0,0.0,0.0,0.0
firm_79,34.85283721716,131.09632841353502,43.810516075589995,39.10609272978,42.639900047985
firm_80,1.9275775379999998,8.3283396315,0.3400386435,7.152003875999999,8.4391350285
firm_81,2003.6697764999567,2198.329910183105,1969.1761301070444,2048.7707579231815,2166.684421215569
firm_82,0.0,0.0,0.0,0.0,0.0
firm_83,0.0,0.441662048505,0.322739699625,0.0,0.3629748616797
firm_84,56.6778425895,13.96496388,54.66531573,65.0588691435,40.992371709000004
firm_85,183.15726194744116,187.96214377407256,188.32619103956085,193.5175439265915,173.15586004276935
firm_86,317.2734605205,221.761570995,350.94918846449997,172.518759444,336.86877335400004
firm_87,48.638989982999995,0.0,42.5599205235,70.7524357785,21.4793031
firm_88,-0.05158819075275,0.0,-0.0005962083006000001,-0.07350648396015,-0.0005635038861
firm_89,90.057720189,0.0,77.6961509715,138.844778739,43.24049283
firm_90,0.0,0.0,0.0,0.0,0.0
firm_91,661.3548692966098,0.0,554.4209812159411,673.7188045329743,576.8796266194951
firm_92,49.05037147355055,0.0,51.08546984320006,49.072466368892556,39.1726967312106
firm_93,0.0,0.0,0.0,0.0,0.0
firm_94,-20.867797845,-5.086536432,-15.881367039,-23.0894425215,-7.1763677325
firm_95,0.0,0.0,0.0,0.0,0.0
firm_96,0.0,1631.3777725371558,1789.2382774743494,0.0,1722.5362752316719
firm_97,130.79372764049998,25.7088528765,140.462150367,136.08496173449998,66.8280385485
firm_98,0.0,0.0,0.0,0.0,0.0
firm_99,366.6439322055,483.1003517373552,386.7474502305,345.9006729375,437.858337597
firm_100,668.2141049295001,680.815852308,793.984666206,670.6692322260001,762.761914164
firm_101,0.0,0.0,0.0,0.0,0.0
firm_102,-21.101956913216704,-14.289681808258651,-25.686774612014855,72.28165911887609,-4.712222985401549
firm_103,0.0,0.0,0.0,0.0,0.0
firm_104,0.0,1467.514616174747,0.0,0.0,0.0
firm_105,4304.4909347775,5390.3724339135,5263.886479542,4417.1961264735,5322.0679926075
firm_106,9.059434215,9.545973075,9.02377956,6.715124085,9.170969775
firm_107,135.7795653548346,0.0,109.35815951379826,141.99482364952232,59.7806764870173
firm_108,2.28336791542575,0.0,2.9328511986917998,2.3772699252493497,2.68482600003045
firm_109,0.0,27.8687696625,0.0,0.0,10.167263247000001
firm_110,888.9209148096451,352.377018403725,780.97186852932,1148.4678851544752,599.771292072045
firm_111,26.017816032000002,32.997254028,25.4352083685,26.1469176855,31.1972523855
firm_112,5637.942184261666,6066.481187792205,5454.02882713632,6066.892274776725,5953.61819159358
firm_113,0.0,-53.00341317,0.0,0.0,-106.985304789
firm_114,7.6827187305,6.088921578,10.476323892,7.045475301,9.961766739
firm_115,190.68328849161,112.104139583214,185.70972696216,225.552830080275,133.47354900777228
firm_116,498.3223070175,140.786074848,335.16420636,829.0213806975,265.8888444075
firm_117,0.0,0.0,0.0,0.0,0.0
firm_118,540.4530125069999,520.4861567774999,513.833243298,510.8488738288767,532.2654079604999
firm_119,0.0,0.0,0.0,0.0,0.0
firm_120,0.0,0.0448364163894,0.0,0.0,0.0
firm_121,0.0,628.132492434,508.27572562650005,0.0,589.5435861585
firm_122,1.741588395,8.4183612465,2.3202756554999997,1.4170780305,3.855103965
firm_123,0.0,0.0,0.0,0.0,0.0
firm_124,0.0,0.0,0.0,0.0,0.0
firm_125,0.0,0.0,0.0,0.0,0.0
firm_126,0.0,0.0,0.0,0.0,0.0
firm_127,3515.6582896022855,0.0,3373.0551830807713,4164.127893194532,3868.2359636322835
firm_128,81.333115420347,0.0,0.0,0.0,0.0
firm_129,72.977279625,-59.9395005195,1.8937713975,23.974350927000003,-34.9096998705
firm_130,21.1707336885,15.729463254000002,26.181407199000002,0.0,18.467063063999998
